window_end,factor,beta,t,portfolio
2009-01-30,EM Bond,0.19112515937487654,2.04258864975435,Asset 1
2009-01-30,High Yield,-0.10184452197081718,-1.8199434037133284,Asset 1
2009-01-30,MSCI Japan,0.022386720507319845,0.6185835153186202,Asset 1
2009-01-30,Commodities,-0.019557233189834346,-0.6535177140191786,Asset 1
2009-01-30,US Dollar,0.08019233023127292,1.281484627687484,Asset 1
2009-01-30,TIPs,0.1034527924516629,1.1539605752238673,Asset 1
2009-01-30,Global AGG,-0.025742112071041507,-0.24035337989703578,Asset 1
2009-01-30,US Tbill 1-3yr,0.427413561818119,1.1977227820973952,Asset 1
2009-01-30,US Muni,0.1304618921020248,1.3560708048485342,Asset 1
2009-01-30,Gold,0.028027336765072634,1.4392762287785323,Asset 1
2009-02-27,HF FOF Div,-0.10704076146351667,-1.2834133323619377,Asset 1
2009-02-27,MSCI Canada,0.009718425808275222,0.3047973134358099,Asset 1
2009-02-27,EM Bond,0.26748338270051314,3.2667669857477137,Asset 1
2009-02-27,High Yield,-0.12277641835036009,-2.186466576224552,Asset 1
2009-02-27,MSCI Japan,-0.003809316467171547,-0.12155862828022772,Asset 1
2009-02-27,Commodities,-0.010068871762684816,-0.34087149201415484,Asset 1
2009-02-27,US Dollar,0.08035686978985027,1.2506558532786702,Asset 1
2009-02-27,TIPs,0.05006488163589148,0.6186397611619147,Asset 1
2009-02-27,Global AGG,-0.014371787912780572,-0.13101946503581371,Asset 1
2009-02-27,US Tbill 1-3yr,0.4153913142842877,1.1217602000132294,Asset 1
2009-02-27,US Muni,0.11547416401903851,1.1540547141294974,Asset 1
2009-02-27,Gold,0.024737340033912533,1.2433255374013843,Asset 1
2009-03-31,HF FOF Div,-0.10480325696841233,-1.2654330418346342,Asset 1
2009-03-31,MSCI Canada,0.01035121591772933,0.34621944738379995,Asset 1
2009-03-31,EM Bond,0.25230982277396324,3.2228199946134137,Asset 1
2009-03-31,High Yield,-0.114722535303189,-2.126040237050633,Asset 1
2009-03-31,MSCI Japan,-0.0006373587697334956,-0.0201918048120549,Asset 1
2009-03-31,Commodities,-0.012872584421659273,-0.4550715183283579,Asset 1
2009-03-31,US Dollar,0.08655278047550394,1.4924686355709171,Asset 1
2009-03-31,TIPs,0.059850422813203775,0.8387855748802806,Asset 1
2009-03-31,Global AGG,-0.010942595027957228,-0.10433342587579734,Asset 1
2009-03-31,US Tbill 1-3yr,0.4008556726407961,1.104249551425956,Asset 1
2009-03-31,US Muni,0.10490340328695004,1.0929228691221822,Asset 1
2009-03-31,Gold,0.026582400785479975,1.329191435757559,Asset 1
2009-04-30,HF FOF Div,-0.11124306139221203,-1.3878257993485235,Asset 1
2009-04-30,MSCI Canada,0.015344680841339095,0.5488489186531886,Asset 1
2009-04-30,EM Bond,0.23409530414522303,2.815009449290029,Asset 1
2009-04-30,High Yield,-0.10150663909181379,-1.9755597058540812,Asset 1
2009-04-30,MSCI Japan,0.003546672471250187,0.11155662072913275,Asset 1
2009-04-30,Commodities,-0.01465831526927951,-0.5149561237567489,Asset 1
2009-04-30,US Dollar,0.09215082703262314,1.5795207221649898,Asset 1
2009-04-30,TIPs,0.04749396898108254,0.7349468202859958,Asset 1
2009-04-30,Global AGG,-0.0011562883633005228,-0.010807663845226554,Asset 1
2009-04-30,US Tbill 1-3yr,0.44234415868180743,1.3282560877823495,Asset 1
2009-04-30,US Muni,0.11421481984718307,1.2214127694983907,Asset 1
2009-04-30,Gold,0.03040349752244301,1.4030284830326223,Asset 1
2009-05-29,HF FOF Div,-0.09920134704155147,-1.1943393787080343,Asset 1
2009-05-29,MSCI Canada,0.015430191711703135,0.5923669835849495,Asset 1
2009-05-29,EM Bond,0.23995684637930906,2.9466742057266457,Asset 1
2009-05-29,High Yield,-0.10264369484869534,-2.0203673578076735,Asset 1
2009-05-29,MSCI Japan,0.00804257857578847,0.24688147848861003,Asset 1
2009-05-29,Commodities,-0.0158362028428748,-0.5585716842802255,Asset 1
2009-05-29,US Dollar,0.09963861215265729,1.6724386560708968,Asset 1
2009-05-29,TIPs,0.039386501259762806,0.6191497393879936,Asset 1
2009-05-29,Global AGG,-0.011719180887207312,-0.10867209695058867,Asset 1
2009-05-29,US Tbill 1-3yr,0.5254676130470908,1.4758061437292216,Asset 1
2009-05-29,US Muni,0.11618030600809814,1.2770808519729306,Asset 1
2009-05-29,Gold,0.031595980668044185,1.494327741895723,Asset 1
2009-06-30,HF FOF Div,-0.08649707455452071,-1.0117160781715837,Asset 1
2009-06-30,MSCI Canada,0.0011232228123118674,0.046378254454050756,Asset 1
2009-06-30,EM Bond,0.24863146279128293,2.9684496360448414,Asset 1
2009-06-30,High Yield,-0.0974552461933966,-1.8687394089834832,Asset 1
2009-06-30,MSCI Japan,0.01153088297898795,0.34412627505906157,Asset 1
2009-06-30,Commodities,-0.012573309328589374,-0.43002880455882403,Asset 1
2009-06-30,US Dollar,0.09245541793050722,1.5149857269708893,Asset 1
2009-06-30,TIPs,0.043390719558019604,0.6533568208065577,Asset 1
2009-06-30,Global AGG,-0.005169547532423043,-0.046627292782254866,Asset 1
2009-06-30,US Tbill 1-3yr,0.46315516904616844,1.2370530338309835,Asset 1
2009-06-30,US Muni,0.08241877164621345,0.9053461251837813,Asset 1
2009-06-30,Gold,0.02651948222933783,1.2242740479738061,Asset 1
2009-07-31,HF FOF Div,-0.08586788203990689,-0.9904957705420857,Asset 1
2009-07-31,MSCI Canada,0.0033972155314407142,0.14165048285734622,Asset 1
2009-07-31,EM Bond,0.24745124011087155,2.771382343343395,Asset 1
2009-07-31,High Yield,-0.09394683214975173,-1.7789658993764577,Asset 1
2009-07-31,MSCI Japan,0.009104198808765182,0.2722878060417623,Asset 1
2009-07-31,Commodities,-0.011831594988869995,-0.37894861454081447,Asset 1
2009-07-31,US Dollar,0.09981404850576979,1.6676000570487586,Asset 1
2009-07-31,TIPs,0.03661534563404625,0.5305114019638685,Asset 1
2009-07-31,Global AGG,0.003863015173791713,0.03474045910763208,Asset 1
2009-07-31,US Tbill 1-3yr,0.4878000407234588,1.2769249427953355,Asset 1
2009-07-31,US Muni,0.0933325571667006,1.0027837280752627,Asset 1
2009-07-31,Gold,0.02578901102715841,1.157475252757746,Asset 1
2009-08-31,HF FOF Div,-0.08274425273604066,-0.9910693966128244,Asset 1
2009-08-31,MSCI Canada,-0.0009688333914311189,-0.04163270136632901,Asset 1
2009-08-31,EM Bond,0.24353997693409288,2.7405295828393306,Asset 1
2009-08-31,High Yield,-0.09023641237808827,-1.7075043930005767,Asset 1
2009-08-31,MSCI Japan,0.011106476958886858,0.3371521764419594,Asset 1
2009-08-31,Commodities,-0.008933582867619623,-0.2865378167074736,Asset 1
2009-08-31,US Dollar,0.10474979959401581,1.7469817198930753,Asset 1
2009-08-31,TIPs,0.03285821588259046,0.4898494172665041,Asset 1
2009-08-31,Global AGG,0.010654450872706226,0.09598386789180756,Asset 1
