alpha,beta,t_alpha,t_beta,p_beta,rsq,adj_rsq,n,portfolio,factor
0.0015549177163936558,0.7859078020793789,0.30122347711809794,8.75425440868375,1.7330416677086675e-14,0.39374313190732346,0.3886053618387415,120,Asset 3,MSCI Europe
0.00444460802490212,0.617431698220299,0.7362019712159388,4.826433018035598,4.201800855633727e-06,0.16486461245683393,0.1577871939183325,120,Asset 3,MSCI Japan
0.000433200916853771,0.6468258692699858,0.08045282110679317,7.899063843197165,1.6322296302591028e-12,0.3458806347332387,0.3403372502818255,120,Asset 3,MSCI Asia ex-J
0.0010338033682354825,0.914381164678427,0.18649216513824796,7.20562349904466,5.903610136606076e-11,0.30555968333129446,0.2996745959018987,120,Asset 3,US Growth
0.00129270165289113,0.888475482362233,0.23368791657922677,7.233956874611615,5.109457974621361e-11,0.3072276844367017,0.30135673260989404,120,Asset 3,US Value
0.001470015809258749,0.657845866847927,0.2591549234448622,6.643229258526911,9.93441170376906e-10,0.27220018409280067,0.2660323890427396,120,Asset 3,US Small Cap
-0.00021047035759616962,0.8180318951068652,-0.03875299295184114,7.760178201742979,3.376091400348189e-12,0.3378983399488137,0.33228730893143077,120,Asset 3,US Mid Cap
0.002231492212504458,0.4645754090637365,0.3576369226500705,4.152698084894277,6.24051874304388e-05,0.12750869872192017,0.12011470464329244,120,Asset 3,Gold
0.001185860782874665,0.9486679991534714,0.21512020184863348,7.320472192485435,3.282924624382537e-11,0.3123114845921533,0.3064836158175105,120,Asset 3,S&P500
0.0021903190024122493,0.023284827975242756,1.688973079342996,0.18846494386337237,0.8508359342998497,0.00030091819272526354,-0.008171107924285437,120,Asset 4,US Muni
0.0020558513977967196,0.22540954100669952,1.584258002044966,0.6751328695161347,0.5009121325507296,0.00384788566370875,-0.004594081406937844,120,Asset 4,US Tbill 1-3yr
0.0019825329629993686,0.1047908350042808,1.5169715819366385,0.8097015997754414,0.4197414914563051,0.005525374179658815,-0.00290237688661521,120,Asset 4,US AGG
0.0014807135987998938,0.3073072291025922,1.242238239569492,4.380246742747369,2.581756808479278e-05,0.13985744167459147,0.13256809795996938,120,Asset 4,Global AGG
0.0018092360461582236,-0.19430056490251574,1.4571517998974703,-2.7780275161888777,0.006364409771194792,0.06138716372356445,0.053432817653425224,120,Asset 4,US Dollar
0.0021277850570473795,0.1407263771375684,1.9699594929024595,6.752067687497179,5.793340794092263e-10,0.27868635949561293,0.2725735320337114,120,Asset 4,Commodities
0.0013614454146828742,0.26789412948601227,1.2158265107828108,6.062755979082382,1.6518241559913074e-08,0.23751434618178036,0.2310526033528124,120,Asset 4,Long Short HF
0.0009142736731764825,0.29340556260612227,0.7658258310324495,4.830113223396666,4.137505170947936e-06,0.16507461106920274,0.15799897217995873,120,Asset 4,Event Driven HF
0.0013781202304747563,0.5213412482938404,1.322507349416083,7.729663139522136,3.9586290578506835e-12,0.3361376538508811,0.33051170176487166,120,Asset 4,HF FOF Div
0.0010796089777122926,0.2894237400123236,0.8581357501910893,3.4424010563005116,0.0007984657674043031,0.0912600201922047,0.08355883392264718,120,Asset 4,Relative Value HF
0.0016724122422971006,0.09939601733827186,1.3075704794956644,2.063944096473482,0.04121547755239145,0.03484271167186881,0.026663412618240567,120,Asset 4,EM Bond
0.0019231376414557363,0.09879812254036911,1.5123250131844659,1.650029750182838,0.10159629278224483,0.022552514753767627,0.014269061488969115,120,Asset 4,TIPs
0.0017923416016030597,0.07529617182920706,1.4016491001499893,1.8005871112465894,0.0743224124179451,0.026740823297200955,0.018492864172600987,120,Asset 4,High Yield
0.0016683539153875683,0.10550829097075108,1.3918885607850362,4.07928594857095,8.241986386642689e-05,0.12359256481424008,0.11616538316012348,120,Asset 4,MSCI World
0.0013420038770899252,0.10927030859575101,1.1991383631862722,6.085370366323032,1.4837569527706089e-08,0.23886550127045658,0.23241520890834177,120,Asset 4,MSCI Canada
0.001633007067450142,0.10680323052329162,1.3954990054974379,4.79415633043494,4.808818052441777e-06,0.16302520520217822,0.15593219846660344,120,Asset 4,MSCI EAFE
0.0012602312062920827,0.09815334689542839,1.1227930052754296,6.055093310882989,1.712913187398225e-08,0.23705657592523743,0.23059095368731575,120,Asset 4,MSCI EM Equity
0.0016836376044600482,0.08895392040687716,1.4155861851291416,4.3004999737875345,3.529781281746106e-05,0.13549503547928843,0.12816872222063835,120,Asset 4,MSCI Europe
0.0018825179029042542,0.10922103419858226,1.5912341500739688,4.35687511736596,2.830671398948309e-05,0.1385752200435202,0.13127501004388897,120,Asset 4,MSCI Japan
0.0013742535696881794,0.09280066166635911,1.1895945273307036,5.282256539365126,5.908949001544349e-07,0.19123925216543403,0.18438534752276825,120,Asset 4,MSCI Asia ex-J
0.001750318862241776,0.08230667895195612,1.4114396204446242,2.8993580845960203,0.004460330648745892,0.06650205576880752,0.05859105624142458,120,Asset 4,US Growth
0.0018230917365459588,0.07146375197184288,1.461228131770419,2.579810646962586,0.011112390938624924,0.053390561079400434,0.0453684471902428,120,Asset 4,US Value
